AUPR_bench,AUPR_bench_1,AUPR_bench_2,AUPR_bench_3,AUPR_dev,AUPR_dev_1,AUPR_dev_2,AUPR_dev_3,AUPR_train,AUPR_train_1,AUPR_train_2,AUPR_train_3,AUROC_bench,AUROC_bench_1,AUROC_bench_2,AUROC_bench_3,AUROC_dev,AUROC_dev_1,AUROC_dev_2,AUROC_dev_3,AUROC_train,AUROC_train_1,AUROC_train_2,AUROC_train_3,batch_size,drop1,drop2,epochs,eps,hidden_activation,ip,lambda,learning_rate,n1,n2,n3,n_hidden,use_vat,weight_1,xi
0.218548806,0.181368417,0.249530632,0.22474737,0.230041261,0.198828311,0.267087093,0.224208379,0.269686019,0.280813103,0.260818642,0.267426311,0.718545351,0.73442896,0.699049735,0.722157359,0.743382853,0.748546104,0.741032991,0.740569462,0.766561947,0.765548546,0.765218711,0.768918585,256,0.609047807,0.37705769,25,1,sigmoid,1,4.67E-06,4.95E-05,295,114,128,2,0,3,10
0.218548806,0.181368417,0.249530632,0.22474737,0.236064107,0.204367042,0.275478148,0.22834713,0.330893268,0.340533322,0.329306096,0.322840386,0.718545351,0.73442896,0.699049735,0.722157359,0.742525465,0.732194978,0.743171583,0.752209835,0.824163852,0.828532182,0.827767892,0.816191481,256,0.068219242,0.424920945,25,1,sigmoid,1,1.77E-05,0.000186933,231,179,104,3,0,3,10
0.218548806,0.181368417,0.249530632,0.22474737,0.232517694,0.198563752,0.26590109,0.233088241,0.293760863,0.30156373,0.287302967,0.292415894,0.718545351,0.73442896,0.699049735,0.722157359,0.747166194,0.743008809,0.744709068,0.753780706,0.790549225,0.78986906,0.792968174,0.788810442,256,0.367152317,0.317703357,25,1,sigmoid,1,2.79E-05,5.96E-05,554,183,71,2,0,3,10
0.218548806,0.181368417,0.249530632,0.22474737,0.238131658,0.201801106,0.27744588,0.235147987,0.299355555,0.308268671,0.295768725,0.29402927,0.718545351,0.73442896,0.699049735,0.722157359,0.746459075,0.735122491,0.746020394,0.75823434,0.797593116,0.797752026,0.799667703,0.79535962,256,0.607611526,0.104109407,25,1,sigmoid,1,7.07E-08,0.000169472,496,202,94,2,0,3,10
0.218548806,0.181368417,0.249530632,0.22474737,0.226970005,0.190386402,0.261288688,0.229234926,0.256166515,0.267979191,0.249352733,0.251167622,0.718545351,0.73442896,0.699049735,0.722157359,0.736775066,0.750746121,0.737947111,0.721631966,0.752898921,0.754778509,0.756638733,0.747279522,256,0.603352473,0.080529726,25,1,sigmoid,1,8.28E-05,3.66E-05,377,201,157,3,0,3,10
0.218548806,0.181368417,0.249530632,0.22474737,0.226528345,0.202467316,0.269166585,0.207951134,0.2848542,0.298320187,0.282165568,0.274076847,0.718545351,0.73442896,0.699049735,0.722157359,0.749513469,0.749034753,0.745510544,0.753995109,0.789104534,0.788041008,0.793013648,0.786258946,256,0.570138759,0.223175383,25,1,sigmoid,1,0.000106253,0.000152561,383,165,116,3,0,3,10
0.218548806,0.181368417,0.249530632,0.22474737,0.229608321,0.191595934,0.274351005,0.222878023,0.268750208,0.276607745,0.260571378,0.269071502,0.718545351,0.73442896,0.699049735,0.722157359,0.746157027,0.749286747,0.74765112,0.741533213,0.772270679,0.770677747,0.775524571,0.770609717,256,0.799806117,0.368017934,25,1,sigmoid,1,3.07E-05,0.000173858,290,215,122,3,0,3,10
0.218548806,0.181368417,0.249530632,0.22474737,0.231395217,0.201452254,0.273896067,0.218837331,0.296944997,0.303923646,0.294130772,0.292780574,0.718545351,0.73442896,0.699049735,0.722157359,0.747286831,0.741913183,0.745327038,0.754620274,0.796020073,0.797462109,0.80044358,0.790154531,256,0.29172337,0.544796635,25,1,sigmoid,1,2.99E-07,0.000102728,378,244,190,3,0,3,10
0.218548806,0.181368417,0.249530632,0.22474737,0.227406457,0.183877336,0.2654172,0.232924835,0.245666861,0.256166895,0.236370481,0.244463207,0.718545351,0.73442896,0.699049735,0.722157359,0.729559448,0.744574459,0.734521991,0.709581893,0.736316872,0.733774545,0.738556733,0.736619338,256,0.772637348,0.575178976,25,1,sigmoid,1,6.40E-07,2.24E-05,455,104,143,2,0,3,10
0.218548806,0.181368417,0.249530632,0.22474737,0.240921595,0.207645711,0.275910535,0.239208541,0.353168464,0.353896795,0.351507168,0.354101428,0.718545351,0.73442896,0.699049735,0.722157359,0.738179126,0.72738737,0.736370941,0.750779067,0.825194811,0.82724079,0.827404668,0.820938975,256,0.105845813,0.35735764,25,1,sigmoid,1,3.27E-06,0.000106925,500,210,185,2,0,3,10
0.218548806,0.181368417,0.249530632,0.22474737,0.238241228,0.206556839,0.275609937,0.232556907,0.323368461,0.334590194,0.309263934,0.326251256,0.718545351,0.73442896,0.699049735,0.722157359,0.745853362,0.736226882,0.747665007,0.753668198,0.815227483,0.821111076,0.81038445,0.814186922,256,0.112968013,0.11898926,25,1,sigmoid,1,5.29E-07,0.000134674,381,96,57,3,0,3,10
0.218548806,0.181368417,0.249530632,0.22474737,0.229250576,0.19207922,0.264574189,0.23109832,0.25722799,0.266592552,0.252570661,0.252520757,0.718545351,0.73442896,0.699049735,0.722157359,0.735202503,0.749411649,0.736878807,0.719317053,0.750482807,0.750136674,0.755329529,0.745982218,256,0.332639518,0.587708254,25,1,sigmoid,1,1.06E-05,2.29E-05,588,225,198,3,0,3,10
0.218548806,0.181368417,0.249530632,0.22474737,0.231358582,0.196448032,0.268929323,0.228698392,0.278669916,0.283310417,0.272976049,0.279723283,0.718545351,0.73442896,0.699049735,0.722157359,0.74777329,0.749231966,0.745940048,0.748147857,0.780164993,0.778484883,0.781138875,0.780871221,256,0.423553583,0.476727106,25,1,sigmoid,1,4.73E-06,6.58E-05,216,257,58,2,0,3,10
0.218548806,0.181368417,0.249530632,0.22474737,0.235741009,0.204265649,0.27234706,0.230610317,0.292416089,0.30113824,0.286907973,0.289202053,0.718545351,0.73442896,0.699049735,0.722157359,0.749085994,0.74302853,0.748351419,0.755878032,0.792891051,0.794113935,0.792107634,0.792451585,256,0.537646709,0.671405475,25,1,sigmoid,1,5.16E-07,0.000133122,286,224,95,2,0,3,10
0.218548806,0.181368417,0.249530632,0.22474737,0.230581577,0.195120464,0.261341714,0.235282552,0.260626455,0.269428695,0.252944652,0.259506018,0.718545351,0.73442896,0.699049735,0.722157359,0.739107917,0.749582566,0.740251354,0.727489832,0.754866226,0.753339374,0.754992501,0.756266803,256,0.662668657,0.162591741,25,1,sigmoid,1,1.08E-06,3.05E-05,473,125,128,2,0,3,10
0.218548806,0.181368417,0.249530632,0.22474737,0.224354487,0.185161486,0.261951751,0.225950224,0.268232466,0.278607011,0.262613276,0.263477109,0.718545351,0.73442896,0.699049735,0.722157359,0.745527538,0.746435928,0.744443232,0.745703453,0.775771239,0.776915604,0.77693595,0.773462164,256,0.676920759,0.635374302,25,1,sigmoid,1,0.000219917,0.00014855,582,297,54,3,0,3,10
0.218548806,0.181368417,0.249530632,0.22474737,0.230844537,0.1992963,0.267386728,0.225850583,0.292287723,0.297724312,0.288331173,0.290807683,0.718545351,0.73442896,0.699049735,0.722157359,0.748789566,0.748022395,0.746151328,0.752194975,0.785608783,0.784025963,0.789939161,0.782861225,256,0.287660676,0.359409714,25,1,sigmoid,1,2.60E-08,4.86E-05,476,188,163,2,0,3,10
0.218548806,0.181368417,0.249530632,0.22474737,0.225462747,0.198234749,0.258970277,0.219183217,0.265253482,0.270255936,0.258136087,0.267368424,0.718545351,0.73442896,0.699049735,0.722157359,0.74168065,0.749348102,0.743485032,0.732208816,0.765366916,0.763441577,0.765863322,0.76679585,256,0.794652535,0.122205252,25,1,sigmoid,1,0.000104103,0.000108269,350,216,98,2,0,3,10
0.218548806,0.181368417,0.249530632,0.22474737,0.222882398,0.184215638,0.254866988,0.229564569,0.260903962,0.269171266,0.254100786,0.259439833,0.718545351,0.73442896,0.699049735,0.722157359,0.74134864,0.747871198,0.740529093,0.735645628,0.762032317,0.758211933,0.76340965,0.764475368,256,0.137164947,0.122027838,25,1,sigmoid,1,0.000785192,2.18E-05,386,67,74,2,0,3,10
0.218548806,0.181368417,0.249530632,0.22474737,0.233350577,0.206014507,0.270995437,0.223041786,0.307438899,0.317356535,0.30527926,0.299680902,0.718545351,0.73442896,0.699049735,0.722157359,0.744411718,0.731309712,0.746665146,0.755260298,0.80750169,0.812739781,0.812476381,0.797288907,256,0.2112963,0.435031722,25,1,sigmoid,1,9.59E-05,0.000148365,423,231,132,3,0,3,10
0.218548806,0.181368417,0.249530632,0.22474737,0.227947402,0.188395554,0.260835551,0.234611101,0.258961071,0.269454535,0.249390329,0.25803835,0.718545351,0.73442896,0.699049735,0.722157359,0.7379434,0.749074196,0.740501319,0.724254685,0.753778118,0.750854282,0.755683644,0.754796428,256,0.794726058,0.574782115,25,1,sigmoid,1,3.81E-08,4.58E-05,589,122,93,2,0,3,10
0.218548806,0.181368417,0.249530632,0.22474737,0.233854232,0.198190442,0.267414668,0.235957586,0.27981464,0.28567856,0.276834158,0.276931203,0.718545351,0.73442896,0.699049735,0.722157359,0.746774904,0.748252476,0.743046601,0.749025635,0.777995061,0.774436494,0.782380646,0.777168044,256,0.29411262,0.443297902,25,1,sigmoid,1,4.85E-07,3.55E-05,425,60,58,2,0,3,10
0.218548806,0.181368417,0.249530632,0.22474737,0.229343622,0.194748368,0.262637426,0.230645073,0.272620944,0.280677055,0.265654007,0.27153177,0.718545351,0.73442896,0.699049735,0.722157359,0.743363483,0.745327154,0.744139703,0.740623594,0.770935324,0.767272786,0.774777292,0.770755895,256,0.773384265,0.052734662,25,1,sigmoid,1,2.05E-06,0.000104638,485,194,112,2,0,3,10
0.218548806,0.181368417,0.249530632,0.22474737,0.230153726,0.189445656,0.270757221,0.230258301,0.26563208,0.273298273,0.256155436,0.26744253,0.718545351,0.73442896,0.699049735,0.722157359,0.736448988,0.747687133,0.739411193,0.722248639,0.755649819,0.755381306,0.753855024,0.757713127,256,0.76450233,0.350437943,25,1,sigmoid,1,2.26E-08,8.78E-05,585,78,180,3,0,3,10
0.218548806,0.181368417,0.249530632,0.22474737,0.232020258,0.195365931,0.272584252,0.228110592,0.265392426,0.276121664,0.259176859,0.260878753,0.718545351,0.73442896,0.699049735,0.722157359,0.743782932,0.746499474,0.741941595,0.742907726,0.77057323,0.769205956,0.773739941,0.768773793,256,0.786537853,0.413685831,25,1,sigmoid,1,0.000393129,0.000165843,390,130,134,2,0,3,10
0.218548806,0.181368417,0.249530632,0.22474737,0.234454033,0.202800722,0.271612093,0.228949283,0.28797753,0.296044287,0.280798106,0.287090198,0.718545351,0.73442896,0.699049735,0.722157359,0.747933256,0.745688711,0.747540024,0.750571033,0.786206418,0.78418278,0.788432316,0.786004156,256,0.377027518,0.039542195,25,1,sigmoid,1,3.05E-08,6.00E-05,357,67,169,2,0,3,10
0.218548806,0.181368417,0.249530632,0.22474737,0.230062819,0.202549485,0.260393573,0.2272454,0.269779762,0.278730821,0.265949649,0.264658818,0.718545351,0.73442896,0.699049735,0.722157359,0.747889176,0.752608686,0.744270637,0.746788204,0.778899361,0.778065098,0.780210196,0.778422791,256,0.675617741,0.117746277,25,1,sigmoid,1,0.00046197,0.000162742,201,84,134,2,0,3,10
0.218548806,0.181368417,0.249530632,0.22474737,0.241745984,0.203029248,0.277758471,0.244450234,0.304924959,0.314732079,0.301060562,0.298982235,0.718545351,0.73442896,0.699049735,0.722157359,0.747604735,0.741954816,0.745367707,0.755491683,0.80314259,0.805408806,0.80491271,0.799106255,256,0.531468665,0.251819913,25,1,sigmoid,1,1.08E-05,0.000167024,483,256,57,2,0,3,10
0.218548806,0.181368417,0.249530632,0.22474737,0.230128679,0.192807453,0.265673426,0.231905157,0.280325972,0.287799431,0.275601351,0.277577136,0.718545351,0.73442896,0.699049735,0.722157359,0.744868309,0.746908143,0.741566647,0.746130136,0.778995474,0.7765447,0.782336725,0.778104998,256,0.481048673,0.591267758,25,1,sigmoid,1,1.18E-06,5.05E-05,475,142,93,2,0,3,10
0.218548806,0.181368417,0.249530632,0.22474737,0.235021301,0.199978668,0.274814355,0.230270881,0.294143913,0.303532243,0.286658222,0.292241275,0.718545351,0.73442896,0.699049735,0.722157359,0.747902756,0.742796257,0.745677188,0.755234824,0.795636755,0.796618895,0.797922474,0.792368897,256,0.628040634,0.080318946,25,1,sigmoid,1,2.29E-05,0.000181724,416,230,117,2,0,3,10
0.218548806,0.181368417,0.249530632,0.22474737,0.22148711,0.181225654,0.25479935,0.228436327,0.261544892,0.274389046,0.252482389,0.25776324,0.718545351,0.73442896,0.699049735,0.722157359,0.744859933,0.747220396,0.743534628,0.743824776,0.77326876,0.775827298,0.77492607,0.76905291,256,0.577015217,0.226918002,25,1,sigmoid,1,0.000763571,0.000187481,241,252,197,3,0,3,10
0.218548806,0.181368417,0.249530632,0.22474737,0.238489676,0.208073711,0.270808621,0.236586695,0.322609421,0.332543784,0.316108305,0.319176175,0.718545351,0.73442896,0.699049735,0.722157359,0.746744981,0.738308572,0.746833773,0.755092597,0.814953933,0.820473217,0.812296534,0.81209205,256,0.253605128,0.262652483,25,1,sigmoid,1,1.66E-07,0.000165523,218,268,163,2,0,3,10
0.218548806,0.181368417,0.249530632,0.22474737,0.240500828,0.203741694,0.279899215,0.237861573,0.319983725,0.326815756,0.315779423,0.317355995,0.718545351,0.73442896,0.699049735,0.722157359,0.747081187,0.738503594,0.746068006,0.75667196,0.813612317,0.81696685,0.814444812,0.809425288,256,0.385722619,0.018922916,25,1,sigmoid,1,7.87E-06,0.000179199,417,142,60,3,0,3,10
0.218548806,0.181368417,0.249530632,0.22474737,0.220071325,0.17914588,0.252289475,0.228778619,0.256495807,0.266303553,0.249309765,0.253874104,0.718545351,0.73442896,0.699049735,0.722157359,0.740535598,0.747998291,0.739737536,0.733870968,0.759450459,0.759539831,0.759653412,0.759158134,256,0.441227393,0.589599535,25,1,sigmoid,1,0.000601478,7.04E-05,552,90,134,3,0,3,10
0.218548806,0.181368417,0.249530632,0.22474737,0.237759266,0.205364335,0.27863838,0.229275082,0.340716119,0.347277308,0.344853497,0.330017553,0.718545351,0.73442896,0.699049735,0.722157359,0.739604176,0.729534797,0.734982245,0.754295485,0.825257874,0.829606189,0.830998783,0.81516865,256,0.055398576,0.57698473,25,1,sigmoid,1,3.89E-06,0.000154718,550,190,102,3,0,3,10
0.218548806,0.181368417,0.249530632,0.22474737,0.235847132,0.202256802,0.270356883,0.234927709,0.287925973,0.297692529,0.280281324,0.285804066,0.718545351,0.73442896,0.699049735,0.722157359,0.747409841,0.746383338,0.748204614,0.74764157,0.779770465,0.777230134,0.783397237,0.778684026,256,0.716188988,0.409162696,25,1,sigmoid,1,1.18E-08,0.000164053,552,165,114,3,0,3,10
0.218548806,0.181368417,0.249530632,0.22474737,0.214617983,0.170130371,0.252452232,0.221271346,0.227922343,0.233899437,0.220817212,0.22905038,0.718545351,0.73442896,0.699049735,0.722157359,0.719843219,0.732608029,0.723251731,0.703669896,0.729709896,0.725680724,0.729281798,0.734167165,256,0.778219122,0.352287819,25,1,sigmoid,1,0.000168337,2.09E-05,242,296,130,2,0,3,10
